place,市区町村,町目番地,経度,緯度
株式会社六甲牧場,神戸市中央区,北野町3-11-4,135.189914,34.701046
デザイン・クリエイティブセンター神戸,神戸市中央区,小野浜町1-4,135.198944,34.685066
神戸ワイナリー,神戸市西区,押部谷町高宇性海寺山1557,135.040215,34.732433
湊川神社,神戸市中央区,多門通3-1-1,135.175607,34.681465
神戸フルーツフラワーパーク,神戸市北区,大沢町上大沢2150,135.19115,34.848888
相楽園,神戸市中央区,中山手通5-3-1,135.181772,34.692579
舞子海上プロムナード,神戸市垂水区,東舞子町2051,135.032968,34.630729
橋の科学館,神戸市垂水区,東舞子町4-114,135.032673,34.631626
須磨海釣り公園,神戸市須磨区,一ノ谷町五丁目地先,135.10208,34.637361
UCCコーヒー博物館,神戸市中央区,港島中町6-6-2,135.216896,34.6651746
マリンピア神戸 さかなの学校,神戸市垂水区,海岸通12-4,135.048133,34.624959
フルーツフラワーパーク道の駅,神戸市北区,大沢町上大沢2150,135.191777,34.845852
東灘図書館,神戸市東灘区,住吉町2-3-40,135.266283,34.719446
東遊園地,神戸市中央区,加納町6-4-1,135.196311,34.688124
神戸菊水株式会社  三宮店,神戸市兵庫区,荒田町3-40-19,135.16933,34.68588
ふたば学舎,神戸市長田区,二葉町7丁目1番8号,135.145611,34.651732
神戸ユースゲストハウス,神戸市垂水区,海岸通5-58,135.046282,34.628137
神戸市産業振興センター,神戸市中央区,東川崎町1-8-4,135.181796,34.680603
神戸ぐりる工房　トアロード店,神戸市中央区,北長狭通3-1-14,135.189567,34.691638
FISH IN THE FOREST,神戸市中央区,波止場町2-8,135.189743,34.684753
神戸陽子線センター,神戸市中央区,港島南町１丁目６?８,135.218332,34.661673
生田前筋商店街,神戸市中央区,下山手通１丁目１?６,135.191225,34.69378
生田前筋商店街,神戸市中央区,三宮町１丁目６?１２,135.192092,34.691075
生田前筋商店街,神戸市中央区,北長狭通１丁目９?１０,135.191548,34.692902
西本ふとん店,神戸市須磨区,須磨浦通4-7-8,135.112379,34.643369
組合事務所,神戸市須磨区,須磨浦通5丁目7?9,135.112379,34.643369
神戸市役所,神戸市中央区,加納町6-5-1,135.1948835,34.6896803
淡河宿本陣跡,神戸市北区,淡河町木津54,135.045881,34.629854
サンパル,神戸市中央区,雲井通5-3-1,135.1974137,34.6955295
五色塚古墳,神戸市垂水区,五色山4丁目,135.045881,34.629854
メリケンパーク,神戸市中央区,波止場町２,135.1894005,34.682247
LAMPHOUSE,神戸市北区,山田町小部妙賀１１?１,135.160163,34.734205
すずらんの湯,神戸市北区,山田町小部妙賀１１?１,135.1592021,34.7349081
神戸海事検定株式会社うろこグループビジターセンター,神戸市中央区,北野町3-5-4,135.1900475,34.7005539
しあわせの村_本館,神戸市北区,しあわせの村1番1号,135.115428,34.70768
しあわせの村_温泉健康センター,神戸市北区,しあわせの村1番2号,135.115246,34.707786
しあわせの村_研修館,神戸市北区,しあわせの村1番1号,135.115536,34.707142
しあわせの村_たんぽぽの家,神戸市北区,しあわせの村1番7号,135.113421,34.706323
しあわせの村_ひよどり,神戸市北区,しあわせの村1番17号,135.115016,34.7048
しあわせの村_シルバーカレッジ,神戸市北区,しあわせの村1番16号,135.117396,34.703032
しあわせの村_あおぞら,神戸市北区,しあわせの村1番6号,135.109409,34.711481
市民広場駅,神戸市中央区,港島中町6,135.2134297,34.6675661
神戸ポートオアシス,神戸市中央区,新港町5-2,135.19885,34.6839588
神戸空港駅,神戸市中央区,神戸空港1,135.2287729,34.6367189
貿易センター駅,神戸市中央区,磯辺通3,135.1986026,34.6898637
有馬温泉 元湯 古泉閣,神戸市北区,有馬町1455-1,135.2505095,34.7997105
ポートターミナル駅,神戸市中央区,新港町4,135.2020748,34.6814091
神戸市総合インフォメーションセンター,神戸市中央区,雲井通８丁目,135.195,34.6938687
神戸国際展示場,神戸市中央区,港島中町6-9-1,135.2130103,34.6662412
有馬温泉観光総合案内所,神戸市北区,有馬町790番地3,135.247704,34.797802
神戸空港海上アクセスターミナル,神戸市中央区,神戸空港１０,135.228854,34.639735
中突堤旅客ターミナル,神戸市中央区,波止場町5-6,135.18886,34.679702
神戸空港総合案内所,神戸市中央区,神戸空港1番,135.2287729,34.6367189
神戸ポートターミナル,神戸市中央区,新港町4-5,135.2029109,34.6804731
神戸どうぶつ王国,神戸市中央区,港島南町7-1-9,135.222976,34.6538645
神戸シティループバス,神戸市中央区,港島9-1,135.2253453,34.6604917
三宮バスターミナル,神戸市中央区,雲井通7丁目1-1,135.1960277,34.6944048
白鶴酒造資料館,神戸市東灘区,住吉南町4丁目5-5,135.2609613,34.7102704
さんセンタープラザ,神戸市中央区,三宮町1丁目9-1,135.1922504,34.6916911
神戸ハーバーランド総合インフォメーション,神戸市中央区,東川崎町1丁目3-3,135.1803072,34.6785841
六甲山ガイドハウス,神戸市灘区,六甲山町北六甲4512-92,135.2304068,34.7568399
神戸酒心館,神戸市東灘区,御影塚町1丁目8-17,135.2485122,34.7097593
コーナンハーバーランド店,神戸市中央区,弁天町1-3,135.183643,34.6819977
六甲ケーブル 山上駅,神戸市灘区,六甲山町一ヶ谷1-32,135.2374452,34.7519989
有馬の工房,神戸市北区,有馬町1019,135.2482654,34.7961942
有馬温泉 銀の湯,神戸市北区,有馬町1039-1,135.2490626,34.7954832
有馬温泉 金の湯,神戸市北区,有馬町833,135.2478682,34.7967858
神戸市客船誘致協議会,神戸市中央区,加納町6-5-1,135.194884,34.68968
北野工房のまち,神戸市中央区,中山手通3-17-1,135.1871479,34.6955683
神戸北野美術館,神戸市中央区,北野町2-9-6,135.1915168,34.7012539
KOBE BEEF　LENTAMENTE,神戸市中央区,三宮町1丁目6－28,135.193117,34.6913745
